label,n_audited,total_expected_yield,fraud_cases_caught,fraud_amount_caught,sector_cap_fraction,precision
cap=0.1,668,1293903294.4075863,166,1293685280.47,0.1,0.24850299401197604
cap=0.2,835,1756367140.2075863,332,1768824595.71,0.2,0.3976047904191617
cap=0.3,1002,1916710797.9475865,495,2007711927.3899999,0.3,0.4940119760479042
cap=0.4,986,1980416798.897586,477,1997276523.98,0.4,0.48377281947261663
cap=0.5,983,1980889117.9875863,474,1990720508.15,0.5,0.4821973550356053
cap=0.6,983,1980889117.9875863,474,1990720508.15,0.6,0.4821973550356053
cap=0.7,983,1980889117.9875863,474,1990720508.15,0.7,0.4821973550356053
cap=0.8,983,1980889117.9875863,474,1990720508.15,0.8,0.4821973550356053
cap=0.9,983,1980889117.9875863,474,1990720508.15,0.9,0.4821973550356053
cap=1.0,983,1980889117.9875863,474,1990720508.15,1.0,0.4821973550356053
unconstrained,983,1980889117.9875863,474,1990720508.15,,0.4821973550356053
